S.NO,BLOCK,HALL NO,CAN SIT
1,A2,202,24
2,A2,204,32
3,A2,205,24
4,A2,206,24
5,A2,302,20
6,A8,2,32
7,A8,3,40
8,A8,4,48
9,A8,9,40
10,A8,10,40
11,A8,11,50
12,A8,101,70
13,A8,103,40
14,A8,104,56
15,A8,106,40
16,A8,108,42
17,A8,109,42
18,A8,201,60
19,A8,202,32
20,A8,203,30
21,A8,206,38
22,A8,207,30
23,A8,208,32
24,A8,301,140
25,A8,302,32
26,A8,303,50
27,A8,402,30
28,A8,403,30
29,A8,404,30
30,A8,405,22
31,A8,406,32
32,A8,410,44
33,A8,411,46
34,A8,412,28
35,A9,2,40
36,A9,6,40
37,A9,103,80
38,A9,202,60
39,A9,205,30
40,A9,301,54
41,A9,302,42
42,A9,305,18
43,A9,306,22
44,A9,401,54
45,A9,402,32
46,A9,405,60
47,A9,406,40
48,A10,2,48
49,A10,6,24
50,A10,7,34
51,A10,101,32
52,A10,102,30
53,A10,104,30
54,A10,201,40
55,A10,202,38
56,A10,204,28
57,A10,301,58
58,A10,302,58
59,A10,303,32
60,A10,304,42
61,A10,401,56
62,A10,402,34
63,A10,403,34
64,A6,104,40
65,A6,202,16
66,A6,204,36
67,A6,205,24
68,A6,206,26
69,A6,402,18
70,A6,404,20
71,A6,405,18
